response_id	tweet_id	user_id	screen_name	retweet_count	text	source	url	has_image	has_video	media_url	is_retweet	is_quote	in_reply_to_id	in_reply_to_url	id	tweet_id	annotator	impression	information	affect	channel	severity_value	severity_explanation	comments	created_at	intent	other_intent	is_reconciling	collapsed_code

2363	829528548822155264	570562543	TyGLIZZY087_	4	Cant forget about my struggle or my past 🙇🏽💭	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829528548822155264	f	f	""	f	f	""	""	2363	829528548822155264	Allison	Don't forget the past.	"[""supply""]"	"[""notsure""]"	f	0.0	No threat.	TyGLIZZY087 is thinking about his past and his struggles.	2017-07-19 10:42:53.425865	"[""GEN""	""REFLECT""]"	""	f	"[""Other""]"

1993	829528548822155264	570562543	TyGLIZZY087_	4	Cant forget about my struggle or my past 🙇🏽💭	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829528548822155264	f	f	""	f	f	""	""	1993	829528548822155264	Chloe	He can't forget about his struggle or past.	"[""supply""]"	""	f	0.0	This tweet is not threatening.	"TyGLIZZY087_ is most likely reflecting on his current life saying he can't forget his struggle or past most likely to say it's what makes him who he is today. He could also be reflecting on particular difficult times in his life/past. he includes a bowing emoji and thought cloud to show he's thinking.



'I can't forget about my struggle or my past'"	2017-07-08 13:33:35.796128	"[""REFLECT""]"	""	f	"[""Other""]"

2369	829565623437033479	570562543	TyGLIZZY087_	69	RT @BIG600BOOKA: Real niggas still exist	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829565623437033479	f	f	""	t	f	""	""	2369	829565623437033479	Allison	There are still some real people out there.	"[""supply""	""repeat""]"	"[""pos_sentiment""]"	f	0.0	No threat.	TyGLIZZY087_ retweeted BIG600BOOKA's post. TyGLIZZY087_ agrees with BIG600BOOKA that real people still exist. This post reflects trust and maybe in the past TyGLIZZY087_ might have been played by people he thought was his friends.	2017-07-19 10:59:08.780814	"[""GEN""	""RETWEET""	""REFLECT""]"	""	f	"[""Other""]"

1999	829565623437033479	570562543	TyGLIZZY087_	69	RT @BIG600BOOKA: Real niggas still exist	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829565623437033479	f	f	""	t	f	""	""	1999	829565623437033479	Chloe	real people still exist.	"[""supply""	""repeat""]"	""	f	0.0	This tweet is not threatening.	"TyGLIZZY087_ is retweeting a young man who is saying that real n still exist. the use of n may refer to real mean still exist or just real genuine and loyal people exist. most likely referring to a lot a people being fake. TyGLIZZY087_ most likely agrees with the tweet and wanted to post it on his timeline.



'Real people still exist'"	2017-07-08 14:29:05.611613	"[""RETWEET""	""REFLECT""]"	""	f	"[""Other""]"

1199	806843726232428548	575461536	Bossman_Bucks	0	@YakMoneyyyy wyo tho yhu Finna go too skew	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/806843726232428548	f	f	""	f	f	806842253683593217	http://twitter.com/statuses/806842253683593217	1199	806843726232428548	Chloe	The user is asking his friend where he is at and if he going to school today.	"[""request""]"	""	f	0.0	This tweet is not threatening.	"The user is asking a young man 'wyo' where he is at and if he is planning on going to school 'skew' today.



'Where are you at though are you trying to go to school?'"	2017-06-12 14:11:56.921783	"[""GEN""	""CONVO""]"	""	f	"[""Other""]"
